DateTime,Battery,F1_WS_100_0_A100L2/LK,F1_WS_100_0_A100L2/LK-STDev,F1_WS_100_0_A100L2/LK-Min,F1_WS_100_0_A100L2/LK-Max,F1_WS_100_0_A100L2/LK-TI30,F2_WS_100_180_A100L2/LK,F2_WS_100_180_A100L2/LK-STDev,F2_WS_100_180_A100L2/LK-Min,F2_WS_100_180_A100L2/LK-Max,F2_WS_100_180_A100L2/LK-TI30,F3_WS_80_180_A100L2/LK,F3_WS_80_180_A100L2/LK-STDev,F3_WS_80_180_A100L2/LK-Min,F3_WS_80_180_A100L2/LK-Max,F4_WS_50_180_A100L2/LK,F4_WS_50_180_A100L2/LK-STDev,F4_WS_50_180_A100L2/LK-Min,F4_WS_50_180_A100L2/LK-Max,F5_WS_10_180_A100L2/LK,F5_WS_10_180_A100L2/LK-STDev,F5_WS_10_180_A100L2/LK-Min,F5_WS_10_180_A100L2/LK-Max,A1_WD_98_0_200M,A1_WD_98_0_200M-STDev,A1_WD_98_0_200M-Min,A1_WD_98_0_200M-Max,A2_WD_78_0_200M,A2_WD_78_0_200M-STDev,A2_WD_78_0_200M-Min,A2_WD_78_0_200M-Max,A3_WD_48_0_200M,A3_WD_48_0_200M-STDev,A3_WD_48_0_200M-Min,A3_WD_48_0_200M-Max,A4_V_10_0_VOLTS,A4_V_10_0_VOLTS-STDev,A4_V_10_0_VOLTS-Min,A4_V_10_0_VOLTS-Max,A5_PR_10_0_Setra276_600-1100_12V,A5_PR_10_0_Setra276_600-1100_12V-STDev,A5_PR_10_0_Setra276_600-1100_12V-Min,A5_PR_10_0_Setra276_600-1100_12V-Max,A6_RAD_12_0_THERMOPILE,A6_RAD_12_0_THERMOPILE-STDev,A6_RAD_12_0_THERMOPILE-Min,A6_RAD_12_0_THERMOPILE-Max,A7_V_10_0_VOLTS,A7_V_10_0_VOLTS-STDev,A7_V_10_0_VOLTS-Min,A7_V_10_0_VOLTS-Max
2021-11-16 07:30,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 07:40,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 07:50,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 08:00,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 08:10,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,357.54,47.910,180.00,177.19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 08:30,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.664,0.29800,37.148,38.125,600.00,0.0000,600.00,600.00,320.90,218.00,0.0000,638.10,0.0000,0.0000,0.0000,0.0000
2021-11-16 08:40,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.107,24.973,-40.000,59.976,950.10,145.30,600.00,,383.50,171.30,0.0000,522.50,0.0000,0.0000,0.0000,0.0000
2021-11-16 08:50,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.448,0.95800,32.974,36.514,,0.40000,,,487.00,87.300,29.300,520.90,0.0000,0.0000,0.0000,0.0000
2021-11-16 09:00,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.883,1.2760,36.514,40.762,,0.30000,,,483.40,8.1000,468.80,498.10,0.0000,0.0000,0.0000,0.0000
2021-11-16 09:10,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.694,0.51900,40.737,42.422,,0.20000,,,442.40,12.400,412.60,470.40,0.0000,0.0000,0.0000,0.0000
2021-11-16 09:20,12.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.449,0.061000,42.349,42.593,,0.20000,,,397.80,9.9000,377.60,415.90,0.0000,0.0000,0.0000,0.0000
2021-11-16 09:30,12.500,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.196,0.21900,41.689,42.568,,0.20000,,,369.90,12.400,348.30,402.90,0.0000,0.0000,0.0000,0.0000
2021-11-17 08:10,13.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.000,0.0000,-40.000,-40.000,600.00,0.0000,600.00,600.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-11-17 08:20,14.600,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 08:30,14.700,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.56400,1.8860,0.0000,10.230,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 08:40,14.600,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,6.9330,3.3800,0.0000,11.240,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.960,24.340,0.0000,66.090,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 08:50,13.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,6.2000,4.2510,0.0000,10.630,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5200,41.050,192.66,174.38,47.110,8.0600,16.880,67.500,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 09:00,13.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8100,43.240,11.050,8.4400,75.940,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 09:10,13.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,4.8580,4.1400,0.0000,11.040,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.460,26.150,184.22,149.06,40.780,17.500,0.0000,73.130,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
2021-11-17 09:20,13.900,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,1.8560,3.2720,0.0000,8.8100,5.6040,3.8020,0.0000,10.030,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.330,9.5600,25.310,74.530,40.780,10.760,2.8100,73.130,-39.991,0.0000,-40.000,-39.991,600.10,0.0000,600.00,600.10,0.30000,0.0000,0.0000,0.30000,0.0000,0.0000,0.0000,0.0000
